,cocacola,logistic_water,logistic_soda,case
01R71077842,True,False,True,Case 1
01R71077845,True,False,True,Case 1
01R71077848,True,False,True,Case 1
01R71077850,True,False,True,Case 1
01R71077851,True,True,False,Case 1
01R71077852,True,True,False,Case 1
01R71077853,True,False,True,Case 1
01R71077854,True,True,False,Case 1
01R71077856,True,True,False,Case 1
01R71077859,True,True,False,Case 1
01R71077860,True,True,False,Case 1
01R71077861,True,True,False,Case 1
01R71077865,True,True,False,Case 1
01R71077869,True,True,False,Case 1
01R71077874,True,False,False,Case 2
01R71077875,True,True,False,Case 1
01R71077876,True,True,False,Case 1
01R71077878,True,False,True,Case 1
01R71077879,True,False,True,Case 1
01R71077882,True,True,False,Case 1
01R71077884,True,False,True,Case 1
01R71077885,True,True,False,Case 1
01R71077886,True,True,False,Case 1
01R71077887,True,True,False,Case 1
01R71077888,True,True,False,Case 1
01R71077891,True,False,True,Case 1
01R71077892,True,False,True,Case 1
01R71077893,True,False,True,Case 1
01R71077894,True,False,True,Case 1
01R71077896,True,False,True,Case 1
01R71077901,True,True,False,Case 1
01R71077904,True,True,False,Case 1
01R71077905,True,True,False,Case 1
01R71077907,True,True,False,Case 1
01R71077909,True,True,False,Case 1
01R71077911,True,True,False,Case 1
01R71077912,True,True,False,Case 1
01R71077913,True,True,False,Case 1
01R71077914,True,True,False,Case 1
01R71077915,True,True,False,Case 1
01R71077916,True,True,False,Case 1
01R71077917,True,True,False,Case 1
01R71077918,True,True,False,Case 1
01R71077919,True,True,False,Case 1
01R71077920,True,True,False,Case 1
01R71077921,True,True,False,Case 1
01R71077922,True,True,False,Case 1
01R71077923,True,True,False,Case 1
01R71077924,True,True,False,Case 1
01R71077925,True,True,False,Case 1
01R71077926,True,True,False,Case 1
01R71077927,True,True,False,Case 1
01R71077929,True,False,True,Case 1
01R71077930,True,True,False,Case 1
01R71077931,True,False,True,Case 1
01R71077933,True,False,True,Case 1
01R71077934,True,False,True,Case 1
01R71077936,True,False,True,Case 1
01R71077937,True,False,True,Case 1
01R71077939,True,False,True,Case 1
01R71077940,True,False,True,Case 1
01R71077941,True,False,True,Case 1
01R71077944,True,False,True,Case 1
01R71077945,True,False,True,Case 1
01R71077958,True,False,True,Case 1
01R71077965,True,False,True,Case 1
01R71077969,True,True,False,Case 1
01R71077970,True,False,True,Case 1
01R71077972,True,True,False,Case 1
01R71077973,True,True,False,Case 1
01R71077975,True,True,False,Case 1
01R71077976,True,False,True,Case 1
01R71077979,True,True,False,Case 1
01R71077982,True,True,False,Case 1
01R71077985,True,False,True,Case 1
01R71077986,True,True,False,Case 1
01R71077987,True,False,True,Case 1
01R71077988,True,False,True,Case 1
01R71077991,True,False,True,Case 1
01R71077995,True,True,False,Case 1
01R71077997,True,True,False,Case 1
01R71077998,True,False,True,Case 1
01R71077999,True,False,True,Case 1
01R71078001,True,True,False,Case 1
01R71078002,True,True,False,Case 1
01R71078003,True,True,False,Case 1
01R71078004,True,True,False,Case 1
01R71078005,True,False,True,Case 1
01R71078006,True,True,False,Case 1
01R71078007,True,True,False,Case 1
01R71078009,True,True,False,Case 1
01R71078010,True,True,False,Case 1
01R71078011,True,True,False,Case 1
01R71078012,True,False,True,Case 1
01R71078013,True,False,True,Case 1
01R71078015,True,True,False,Case 1
01R71078017,True,False,True,Case 1
01R71078018,True,True,False,Case 1
01R71078020,True,False,False,Case 2
01R71078021,True,False,True,Case 1
01R71078023,True,False,True,Case 1
01R71078026,True,False,True,Case 1
01R71078027,True,False,False,Case 2
01R71078030,True,True,False,Case 1
01R71078031,True,False,True,Case 1
01R71078032,True,True,False,Case 1
01R71078033,True,True,False,Case 1
01R71078048,True,False,True,Case 1
01R71078062,True,False,True,Case 1
01R71078063,True,True,False,Case 1
01R71078064,True,True,False,Case 1
01R71078065,True,True,False,Case 1
01R71078066,True,False,True,Case 1
01R71078068,True,True,False,Case 1
01R71078069,True,True,False,Case 1
01R71078070,True,False,True,Case 1
01R71078073,True,True,False,Case 1
01R71078074,True,True,False,Case 1
01R71078079,True,True,False,Case 1
01R71078080,True,True,False,Case 1
01R71078081,True,True,False,Case 1
01R71078082,True,False,True,Case 1
01R71078087,True,True,False,Case 1
01R71078090,True,True,False,Case 1
